"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
206801,228472,"2014-01-16T00:00:00",2014,"Emergency Response Fund (OCHA)","Al Mamoura Humanitarian Establishment",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206616,2500000,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1044,"Commitment",0,"SYR-14/CSS/62678/561","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206617,1.3e+07,"2014-01-15T00:00:00",2014,"United States of America","World Health Organization",16440,1044,"Commitment",0,"SYR-14/H/62490/122","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206618,50345900,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1044,"Commitment",0,"SYR-14/F/62000/561","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206624,10800000,"2014-01-15T00:00:00",2014,"United States of America","International Committee of the Red Cross",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206625,3600000,"2014-01-15T00:00:00",2014,"United States of America","International Organization for Migration",16440,1048,"Commitment",0,"SRRP-14/MS/67242/R/298","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206611,1e+06,"2014-01-15T00:00:00",2014,"United States of America","Food & Agriculture Organization of the United Nations",16440,1044,"Commitment",0,"SYR-14/A/62114/123","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206629,28100000,"2014-01-15T00:00:00",2014,"United States of America","United Nations Relief and Works Agency for Palestine Refugees in the Near East",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206630,16945900,"2014-01-15T00:00:00",2014,"United States of America","NGOs (details not yet provided)",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206612,40554100,"2014-01-15T00:00:00",2014,"United States of America","NGOs (details not yet provided)",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206613,5e+05,"2014-01-15T00:00:00",2014,"United States of America","United Nations Dept of Safety and Security ",16440,1044,"Commitment",0,"SYR-14/S/62557/5139","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206614,2500000,"2014-01-15T00:00:00",2014,"United States of America","United Nations Population Fund",16440,1044,"Commitment",0,"SYR-14/H/61649/1171","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206683,4e+06,"2014-01-23T00:00:00",2014,"Morocco","Emergency Response Fund (OCHA)",16440,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206837,2673797,"2014-01-28T00:00:00",2014,"Australia","United Nations Children's Fund",16440,1048,"Commitment",0,"SRRP-14/MS/64845/124","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206838,2584760,"2014-01-28T00:00:00",2014,"Australia","RedR",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206839,891266,"2014-01-28T00:00:00",2014,"Australia","NGOs (details not yet provided)",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206802,3300000,"2014-01-13T00:00:00",2014,"China","Various Recipients (details not yet provided)",16440,0,"Paid contribution",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
205463,3094463,"2013-12-13T00:00:00",2025,"United Kingdom ","International Committee of the Red Cross",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206621,21500000,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64860/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206622,20500000,"2014-01-15T00:00:00",2014,"United States of America","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64857/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206628,43700000,"2014-01-15T00:00:00",2014,"United States of America","United Nations Children's Fund",16440,1048,"Commitment",0,"SRRP-14/MS/67245/R/124","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206631,1e+07,"2014-01-15T00:00:00",2014,"United States of America","Various Recipients (details not yet provided)",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
201963,51300000,"2014-01-15T00:00:00",2014,"Italy","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
